state,percentage
4903185,10.75857835264221
731545,8.921665789527644
7278717,11.829392460237155
3017804,11.1183164976917
39512223,9.193501970263734
5758736,8.842113963897633
3565287,9.492840267838185
973764,10.684108264425467
705749,6.746591210189458
21477737,10.180201945856773
10617423,10.34830203148165
1415872,2.2026002350494958
1787065,10.490888691793527
12671821,10.510312606215003
6732219,10.656412098299239
3155070,11.552073329593322
2913314,10.589692700477874
4467673,9.924808731525339
4648794,9.849780394657195
1344212,4.55419234465992
6045680,7.400342062431356
6892503,9.49704338177292
9986857,9.338313345229635
5639632,10.161070793271618
2976149,10.47998604908558
6137428,9.528828688499482
1068778,10.160482345257856
1934408,11.36399353187125
3080156,10.22441720484287
1359711,6.962950215156015
8882190,11.309001496252613
2096829,9.416456945225384
19453561,5.74149894715934
10488084,9.241077779316031
762062,14.10292075972821
11689100,9.160422958140488
3956971,11.329499255870209
4217737,4.3584984080325535
12801989,8.954842876368664
1059361,13.960963259927448
5148714,11.216820355529556
884659,13.850760575543797
6829174,12.394939710131855
28995881,9.662724164166628
3205958,12.382726161727634
623989,3.6582375650852814
8535519,7.72759102287746
7614893,5.275425406502757
1792147,8.522347776158986
5822434,11.328595566733775
578759,10.033364491956064
