,submission_date,tot_cases
256,06/07/2020,1946272
257,06/08/2020,1963812
258,06/09/2020,1982318
259,06/10/2020,2003371
260,06/11/2020,2025732
261,06/12/2020,2048554
262,06/13/2020,2073107
263,06/14/2020,2094298
264,06/15/2020,2113810
265,06/16/2020,2143632
266,06/17/2020,2167725
267,06/18/2020,2196258
268,06/19/2020,2228981
269,06/20/2020,2261572
270,06/21/2020,2289146
271,06/22/2020,2316912
272,06/23/2020,2351997
273,06/24/2020,2391204
274,06/25/2020,2431511
275,06/26/2020,2477249
276,06/27/2020,2522076
277,06/28/2020,2562800
278,06/29/2020,2600080
279,06/30/2020,2645729
280,07/01/2020,2701963
281,07/02/2020,2756984
282,07/03/2020,2814785
283,07/04/2020,2865695
284,07/05/2020,2909287
285,07/06/2020,2959464
286,07/07/2020,3012639
287,07/08/2020,3079873
288,07/09/2020,3140290
289,07/10/2020,3208824
290,07/11/2020,3271386
291,07/12/2020,3331672
292,07/13/2020,3392133
293,07/14/2020,3451667
294,07/15/2020,3523771
295,07/16/2020,3596795
296,07/17/2020,3672338
297,07/18/2020,3738183
298,07/19/2020,3800449
299,07/20/2020,3860226
300,07/21/2020,3924956
301,07/22/2020,3995527
302,07/23/2020,4067471
303,07/24/2020,4141315
304,07/25/2020,4204079
305,07/26/2020,4261923
306,07/27/2020,4315947
307,07/28/2020,4377026
308,07/29/2020,4442166
309,07/30/2020,4508378
310,07/31/2020,4576122
311,08/01/2020,4633699
312,08/02/2020,4686392
313,08/03/2020,4731399
314,08/04/2020,4782968
315,08/05/2020,4836182
316,08/06/2020,4892209
317,08/07/2020,4953666
318,08/08/2020,5007656
319,08/09/2020,5055206
320,08/10/2020,5096244
321,08/11/2020,5153145
322,08/12/2020,5210099
323,08/13/2020,5263668
324,08/14/2020,5320426
325,08/15/2020,5374089
326,08/16/2020,5416096
327,08/17/2020,5455350
328,08/18/2020,5495611
329,08/19/2020,5542424
330,08/20/2020,5588062
331,08/21/2020,5635066
332,08/22/2020,5679529
333,08/23/2020,5717275
334,08/24/2020,5752315
335,08/25/2020,5791908
336,08/26/2020,5838924
337,08/27/2020,5886615
338,08/28/2020,5931712
339,08/29/2020,5973523
340,08/30/2020,6010239
341,08/31/2020,6044027
342,09/01/2020,6088540
343,09/02/2020,6130098
344,09/03/2020,6175769
345,09/04/2020,6226226
346,09/05/2020,6268373
347,09/06/2020,6302378
348,09/07/2020,6327959
349,09/08/2020,6354145
350,09/09/2020,6389368
351,09/10/2020,6428159
352,09/11/2020,6473511
353,09/12/2020,6513209
354,09/13/2020,6545016
355,09/14/2020,6580239
356,09/15/2020,6616346
357,09/16/2020,6659402
358,09/17/2020,6703948
359,09/18/2020,6753114
360,09/19/2020,6795410
361,09/20/2020,6829838
362,09/21/2020,6870106
363,09/22/2020,6919229
364,09/23/2020,6961491
365,09/24/2020,7006456
366,09/25/2020,7056084
367,09/26/2020,7100161
368,09/27/2020,7135992
369,09/28/2020,7173126
370,09/29/2020,7213066
371,09/30/2020,7259407
372,10/01/2020,7307058
373,10/02/2020,7357588
374,10/03/2020,7404416
375,10/04/2020,7440850
376,10/05/2020,7483071
377,10/06/2020,7524797
378,10/07/2020,7579962
379,10/08/2020,7636686
380,10/09/2020,7695236
381,10/10/2020,7746243
382,10/11/2020,7794203
383,10/12/2020,7842675
384,10/13/2020,7893863
385,10/14/2020,7951729
386,10/15/2020,8015814
387,10/16/2020,8083799
388,10/17/2020,8137829
389,10/18/2020,8186822
390,10/19/2020,8247337
391,10/20/2020,8309765
392,10/21/2020,8375522
393,10/22/2020,8450823
394,10/23/2020,8532608
395,10/24/2020,8611859
396,10/25/2020,8675101
397,10/26/2020,8744053
398,10/27/2020,8819663
399,10/28/2020,8904816
400,10/29/2020,8996737
401,10/30/2020,9096385
402,10/31/2020,9184102
403,11/01/2020,9323429
404,11/02/2020,9415214
405,11/03/2020,9511566
406,11/04/2020,9623236
407,11/05/2020,9747269
408,11/06/2020,9881343
409,11/07/2020,9977095
410,11/08/2020,10083040
411,11/09/2020,10211608
412,11/10/2020,10356052
413,11/11/2020,10508514
414,11/12/2020,10669519
415,11/13/2020,10849509
416,11/14/2020,11011212
417,11/15/2020,11151487
418,11/16/2020,11310116
419,11/17/2020,11476071
420,11/18/2020,11644979
421,11/19/2020,11834050
422,11/20/2020,12033081
423,11/21/2020,12209985
424,11/22/2020,12360219
425,11/23/2020,12524591
426,11/24/2020,12698661
427,11/25/2020,12888568
428,11/26/2020,13038086
429,11/27/2020,13214620
430,11/28/2020,13362262
431,11/29/2020,13498803
432,11/30/2020,13658778
433,12/01/2020,13848949
434,12/02/2020,14055283
435,12/03/2020,14279054
436,12/04/2020,14504143
437,12/05/2020,14713809
438,12/06/2020,14888399
439,12/07/2020,15083901
440,12/08/2020,15312424
441,12/09/2020,15529638
442,12/10/2020,15741166
443,12/11/2020,15991642
444,12/12/2020,16209050
445,12/13/2020,16390602
446,12/14/2020,16593193
447,12/15/2020,16794486
448,12/16/2020,17039369
449,12/17/2020,17287755
450,12/18/2020,17525816
451,12/19/2020,17726033
452,12/20/2020,17918961
453,12/21/2020,18107632
454,12/22/2020,18308790
455,12/23/2020,18541298
456,12/24/2020,18738339
457,12/25/2020,18872500
458,12/26/2020,19055961
459,12/27/2020,19204735
460,12/28/2020,19386334
461,12/29/2020,19595012
462,12/30/2020,19831758
463,12/31/2020,20063087
